h,a,round,date,home_prob,tie_prob,away_prob,home_xG,away_xG,home_xGK,away_xGK,home_CS,away_CS,game
RBL,BAY,1.0,2023-01-20 20:30:00+00:00,0.2534856536242461,0.230168666918712,0.516345679457042,1.2726690309154343,1.8499999999999925,1.8109949365042695,1.71900506349573,0.1572371663136288,0.2800830728922525,BL
FFM,S04,1.0,2023-01-21 15:30:00+00:00,0.7007457124807434,0.18136241593695754,0.11789187158229911,2.1666411029302393,0.7400000000000002,2.0191791988437613,2.475820801156228,0.4771139155210342,0.11456177258221369,BL
UBL,HOF,1.0,2023-01-21 15:30:00+00:00,0.42001996217911064,0.2812140613657255,0.29876597645516384,1.3315685659080378,1.086363815457291,1.8450452528933257,2.223636910185843,0.3374412643206647,0.264062736474044,BL
WOB,SCF,1.0,2023-01-21 15:30:00+00:00,0.37299381875222604,0.2800078422880758,0.34699833895969817,1.2281624835725937,1.1767056375879146,2.199704396896899,2.0380360229992656,0.30829269538113924,0.2928301638544078,BL
VFB,M05,1.0,2023-01-21 15:30:00+00:00,0.40070209776001764,0.2761841845776831,0.32311371766229924,1.3455778001749725,1.1767056375879146,2.277914957484264,2.292085042515724,0.30829269538113924,0.2603892114537987,BL
BOC,BSC,1.0,2023-01-21 15:30:00+00:00,0.3979989049106219,0.27196069597207667,0.3300403991173015,1.3184968988494354,1.1767056375879146,2.2301905916282223,2.5248094083717616,0.30829269538113924,0.26753713526798545,BL
KOE,WER,1.0,2023-01-21 18:30:00+00:00,0.43423165840651556,0.2511537800824652,0.31461456151101924,1.5299999999999994,1.2392052613051856,2.4355986004245977,2.4994013995753823,0.28961429418785434,0.21653566731600715,BL
BVB,FCA,1.0,2023-01-22 15:30:00+00:00,0.7261905057512575,0.16404419028700137,0.10976530396174108,2.4345382185183033,0.7750000000000002,1.4276760638889596,2.1373239361110388,0.4607037809989658,0.08763820740668601,BL
BMG,B04,1.0,2023-01-22 17:30:00+00:00,0.35095574707684574,0.24236397957348166,0.4066802733496726,1.3974920307461276,1.4963864040022425,2.1109481117429576,2.4090518882570313,0.22393792098379878,0.24721619773034484,BL
S04,RBL,2.0,2023-01-24 18:30:00+00:00,0.1627794024309166,0.21716262567061947,0.6200579718984639,0.8100000000000003,1.8949999999999916,2.5016703864133736,2.0583296135866145,0.15031833504640157,0.4448580662229411,BL
BAY,KOE,2.0,2023-01-24 20:30:00+00:00,0.782817756037431,0.12953378951836494,0.08764845444420408,2.784999999999994,0.7650000000000002,1.257983319041914,1.8689403610546025,0.4653339309743133,0.06172908903095917,BL
BSC,WOB,2.0,2023-01-24 20:30:00+00:00,0.3123719958610493,0.27463987707265825,0.4129881270662924,1.117525250626916,1.3292957903698228,2.2309252284436956,1.99287881343423,0.2646635743282091,0.3270882552963947,BL
HOF,VFB,2.0,2023-01-24 20:30:00+00:00,0.4445740402375045,0.2664941809216518,0.28893177884084376,1.5167651173209316,1.1694935874664354,2.389854641044911,2.2901453589550744,0.3105241547786329,0.21942053983351575,BL
M05,BVB,2.0,2023-01-25 18:30:00+00:00,0.3036966666950157,0.2573409340225803,0.438962399282404,1.2630459951489204,1.5849999999999982,2.3313321192865413,2.178667880713448,0.20494779311679762,0.28279133225932856,BL
WER,UBL,2.0,2023-01-25 20:30:00+00:00,0.33279361170160543,0.30575278901515773,0.3614535992832368,1.0314950527753999,1.0911245034926713,2.0674026416783233,2.221574665895772,0.3358386295798494,0.35647361511105885,BL
B04,BOC,2.0,2023-01-25 20:30:00+00:00,0.6552691116507989,0.20005802664677694,0.14467286170242413,1.9549999999999903,0.7750000000000002,1.521192842200652,1.8431849995823542,0.4607037809989658,0.14156447669413544,BL
FCA,BMG,2.0,2023-01-25 20:30:00+00:00,0.29799791078214066,0.2592643020335779,0.4427377871842814,1.2798267377453707,1.6099999999999977,2.571562188304408,1.9184378116955814,0.199887614075145,0.27808547799629607,BL
SCF,FFM,2.0,2023-01-25 20:30:00+00:00,0.3835623639124904,0.28105380350892434,0.33538383257858534,1.2774990652556684,1.1853881596496472,1.6280090834783523,1.8869909165216474,0.3056275241988862,0.2787335238398589,BL
RBL,VFB,3.0,2023-01-27 20:30:00+00:00,0.7107606016840752,0.18314557340854606,0.10609382490737876,2.294310323814166,0.7150000000000002,1.6942095706022204,2.607300727240009,0.4891921117963316,0.100830909970944,BL
M05,BOC,3.0,2023-01-28 15:30:00+00:00,0.5586521277625294,0.246922029420485,0.19442584281698563,1.6049999999999978,0.8250000000000003,1.834003675651587,2.1959963243484015,0.438234992464949,0.20088955491023253,BL
SCF,FCA,3.0,2023-01-28 15:30:00+00:00,0.610865131126327,0.22345005784583924,0.16568481102783375,1.8049999999999935,0.7950000000000003,1.530362729698105,2.299637270301888,0.45158123492259217,0.16447445657715595,BL
HOF,BMG,3.0,2023-01-28 15:30:00+00:00,0.47873382502853773,0.24723385391241656,0.2740323210590456,1.7399999999999949,1.2745333404547634,2.3058909723894065,2.2441090276105817,0.27956139778069505,0.17552040061699775,BL
BSC,UBL,3.0,2023-01-28 15:30:00+00:00,0.245844878215256,0.2965062477585607,0.45764887402618326,0.8250000000000003,1.237322785080272,2.429468673348009,2.2005313266519777,0.29015999968872164,0.438234992464949,BL
WER,WOB,3.0,2023-01-28 15:30:00+00:00,0.2769336617471116,0.25930313071025896,0.4637632075426294,1.1479477659423825,1.5549999999999988,2.092236873312042,2.2521379402787156,0.21118938264097142,0.3172872493813738,BL
