league,team,team_short,program,overall_GK/g,overall_saves/xGA,avg_playerprice_starter,txCS_GW1,txCS_GW_1-3,txCS_GW_1-5,txCS_GW_all,txG_GW1,txG_GW_1-3,txG_GW_1-5,txG_GW_all,txP_rest_GW_1-3,txP_rest_GW_1-5,txP_rest_GW_all
1. Premier League,Arsenal,ARS,"GW1[h]BOU, GW2[a]FUL, GW3[h]CRP, GW4[h]LEE, GW5[a]LIV, ",1.5555555555555556,3.439305761695074,6133636.363636363,0.5901684595639731,1.5781646646059877,2.21763260882473,5.234473807081869,2.336313185398838,5.931313185398834,9.571313185398836,23.181313185398835,113394.49764151078,164046.4976415108,375258.4976415108
1. Premier League,Chelsea,CHE,"GW1[h]LEE, GW2[a]LEI, GW3[h]EVE, GW4[h]ASV, [h]LIV, GW5[a]WOL, ",1.7419354838709675,3.585757107694548,4897181.818181818,0.4723665527410148,1.4176725270269617,2.493876792968553,5.128596997162819,1.6649999999999965,4.823331353184323,9.063331353184322,19.463331353184323,89695.70639691342,153273.70639691342,285962.7063969134
1. Premier League,Tottenham,TOT,"GW1[a]WOL, GW2[h]NOT, GW3[a]SOU, GW4[a]EVE, GW5[h]BRI, ",1.8253968253968251,3.7005688110677952,5373545.454545454,0.38867957090175276,1.223970512593622,1.8052800551355974,4.124350708584525,1.2569164223933436,4.7669164223933365,8.036916422393336,20.866916422393334,80137.01511016065,123771.01511016065,286162.51511016063
1. Premier League,Brighton and Hove,BRI,"GW1[h]WHU, GW2[a]LEE, [h]CRP, GW4[h]BRE, [a]BOU, GW5[a]TOT, ",1.7166666666666666,3.347489117927034,3478909.090909091,0.4338744814329908,1.251913181925822,2.131456082455497,4.7753336047300365,1.549999999999999,4.617891895449914,9.807891895449915,22.84789189544992,79053.2022837366,149105.2022837366,329912.7022837366
1. Premier League,Brentford,BRE,"GW1[h]FUL, GW2[a]EVE, [a]SOU, GW3[h]LEI, GW4[a]BRI, [a]MAU, GW5[h]NEW, ",1.540983606557377,2.49875071834398,3995000.0,0.3925858655315182,1.3740872805162012,1.9316818001083127,3.940213121954185,1.404126910828107,5.328990600229604,8.978990600229604,20.048990600229605,76793.00512359464,94921.00512359464,201405.50512359466
1. Premier League,Manchester City,MAC,"GW1[h]NEW, GW2[a]CRP, GW4[h]LIV, GW5[a]SOU, ",1.0793650793650793,5.781290591079335,6975272.7272727275,0.4941085742561414,1.0347494695654578,1.7417307760842897,4.791952524813013,1.9299999999999908,3.9556086182695296,8.46560861826953,25.585608618269532,75586.15375133668,146607.65375133668,425033.6537513367
1. Premier League,Aston Villa,ASV,"GW1[h]CRP, GW2[a]WHU, GW3[h]BOU, GW4[a]CHE, [a]LEI, GW5[h]NOT, ",2.064516129032258,2.38748739793814,3787636.3636363638,0.44708792655935636,1.1171200751590808,1.9996069910624237,3.7680559914544918,1.2363685955585482,3.9513685955585487,7.811368595558549,17.72136859555855,59788.12686930566,103366.12686930566,177043.62686930568
1. Premier League,Liverpool,LIV,"GW1[h]MAU, GW2[a]BOU, GW4[a]MAC, [a]CHE, GW5[h]ARS, ",1.2258064516129032,4.460878683121679,5774363.636363637,0.260158128101513,0.7208619091004789,1.290294696721109,3.8324865942127526,1.4590240137634827,3.404024013763473,7.754024013763473,23.98402401376347,52102.35547340488,84133.85547340488,323495.85547340487
1. Premier League,Manchester Utd,MAU,"GW1[a]LIV, GW2[h]SOU, GW4[a]NEW, [h]BRE, GW5[h]EVE, ",2.064516129032258,3.168443020997296,5183363.636363637,0.2324630447817391,0.7340391138477945,1.7556526784581794,4.531698806302817,1.346465647830338,3.3905823237618695,8.85058232376187,23.150582323761867,50951.826438089774,132389.82643808977,350554.3264380898
1. Premier League,Newcastle,NEW,"GW1[a]MAC, GW2[h]WOL, GW3[a]NOT, GW4[h]MAU, [a]WHU, GW5[a]BRE, ",1.9180327868852456,2.639514402667237,4512545.454545454,0.14514819848362506,1.0355761987435799,1.875437942237927,4.617673393622111,0.7050000000000002,3.7753096499865393,7.745309649986539,19.305309649986537,48335.587883777116,94831.58788377712,262293.5878837771
1. Premier League,Wolverhampton,WOL,"GW1[h]TOT, GW2[a]NEW, GW3[h]LEE, GW4[a]NOT, GW5[h]CHE, ",1.7142857142857142,2.1173073154697235,3301363.6363636362,0.2845300456463028,0.8397276759715901,1.4642207867548416,3.4737878493271883,0.9450000000000004,2.955000000000001,4.945000000000001,12.844999999999999,26403.405279299637,48067.40527929964,96367.40527929964
1. Premier League,Leicester City,LEI,"GW1[a]SOU, GW2[h]CHE, GW3[a]BRE, GW4[a]CRP, [h]ASV, GW5[h]BOU, ",1.4193548387096775,2.027221608993049,4048636.3636363638,0.3165934777427884,0.7312013251771176,1.6757574547089893,3.5774071311814115,1.1934538502824115,3.2784538502824114,7.728453850282412,17.75845385028241,24919.988979104874,85901.98897910488,166357.98897910488
1. Premier League,West Ham,WHU,"GW1[a]BRI, GW2[h]ASV, GW4[h]SOU, [h]NEW, GW5[a]FUL, ",1.2419354838709675,2.4916417445957437,3781090.909090909,0.21224797382674326,0.608779392901736,1.663699245954523,3.903299205855588,0.8350000000000003,2.16884427840535,6.12884427840535,16.338844278405354,23156.029239702606,80247.0292397026,193519.02923970262
1. Premier League,Everton,EVE,"GW1[a]NOT, GW2[h]BRE, GW3[a]CHE, GW4[h]TOT, GW5[a]MAU, ",2.015873015873016,1.9546311895995607,2894909.090909091,0.38867957090175276,0.9411849457499066,1.2415233128244205,3.030711694946148,0.9300000000000004,2.5851012133066944,4.445101213306694,12.455101213306692,22289.58169655336,17283.58169655336,53100.58169655336
1. Premier League,Southampton,SOU,"GW1[h]LEI, GW2[a]MAU, [h]BRE, GW3[h]TOT, GW4[a]WHU, GW5[h]MAC, ",1.6935483870967742,2.3411208194633275,2816363.6363636362,0.3031723418208124,0.915424320566996,1.2146165856511841,3.0443866313270878,1.1501367326861882,4.06474813093637,5.68474813093637,13.804748130936371,21347.14742085853,10569.647420858531,49028.14742085853
1. Premier League,Leeds United,LEE,"GW1[a]CHE, GW2[h]BRI, GW3[a]WOL, GW4[a]ARS, [h]NOT, GW5[h]CRP, ",2.419354838709677,1.8587275839513535,2805636.3636363638,0.18919065798198267,0.7195908909131427,1.6296376294342245,3.3178567108638943,0.7500000000000002,2.9560933979584005,6.696093397958401,16.096093397958406,18225.342482308166,59317.842482308166,116303.34248230816
1. Premier League,Nottingham Forest,NOT,"GW1[h]EVE, GW2[a]TOT, GW3[h]NEW, GW4[h]WOL, [a]LEE, GW5[a]ASV, ",2.083333333333333,2.0878957116970964,3055090.909090909,0.39455371037160103,0.7564670753806273,1.4703008249848555,2.869999025510735,0.9450000000000004,2.4900000000000007,5.23,11.829999999999998,9289.072488130554,21641.572488130554,-910.427511869445
1. Premier League,Fulham,FUL,"GW1[a]BRE, GW2[h]ARS, GW4[a]BOU, GW5[h]WHU, ",2.36,2.308720709157873,3900181.8181818184,0.24558137732005442,0.43288955680201213,1.0383050327809182,3.095700917118371,0.9350000000000004,1.7100000000000006,4.3500000000000005,14.27,3751.0526958839737,37485.55269588398,129756.55269588396
1. Premier League,Crystal Palace,CRP,"GW1[a]ASV, GW2[h]MAC, [a]BRI, GW3[a]ARS, GW4[h]LEI, GW5[a]LEE, ",1.903225806451613,2.5732091834126263,3350636.3636363638,0.2904369994541681,0.7619700581430502,1.3404524961024293,4.067846811661603,0.8050000000000003,2.8000000000000007,5.0600000000000005,14.100000000000003,-14635.119175855667,9732.880824144333,126540.38082414433
1. Premier League,Bournemouth,BOU,"GW1[a]ARS, GW2[h]LIV, GW3[a]ASV, GW4[h]FUL, [h]BRI, GW5[a]LEI, ",1.625,1.957050841804451,3084181.8181818184,0.09668343585052908,0.406630828855664,0.9614382314538448,2.5872462009200086,0.5273472581520872,2.2023472581520873,5.362347258152087,13.192347258152086,-22272.12850374166,-13260.12850374166,10505.871496258338
2. La Liga,Real Sociedad,RSO,"GW1[h]CCF, GW2[a]MCA, GW3[h]ELC, GW4[a]VIL, GW5[h]GET, ",2.19672131147541,4.03244844586103,4995000.0,0.5968042965570447,1.5614894006794118,2.380111052843664,5.099986316231562,1.5549999999999988,4.414999999999999,6.904999999999999,17.415,87339.53197088625,126953.53197088625,243346.53197088625
2. La Liga,Real Madrid,RMA,"GW1[a]BET, GW2[h]ESP, GW3[a]FCB, GW4[h]VLL, GW5[h]VIL, ",1.852459016393443,4.6086377722635055,6371636.363636363,0.4127141732790497,1.1627818711650744,2.1333359904828217,5.656824965900682,1.594999999999998,5.243362983816046,10.193362983816044,29.173362983816045,80033.20991295998,167714.20991295998,477966.70991295995
2. La Liga,Atletico Madrid,ATM,"GW1[h]SEV, GW2[a]GIR, GW3[h]VAL, GW4[h]BET, GW5[a]RVA, ",2.5737704918032787,3.6729524204449024,4925818.181818182,0.5091564206075492,1.3555229018039148,2.0443201815379197,5.646602682057074,1.4460671480868557,4.282265711117554,7.102265711117553,21.162265711117552,77909.50652371545,119103.50652371545,347128.00652371545
2. La Liga,FC Barcelona,FCB,"GW1[h]VAL, GW2[a]BIL, GW3[h]RMA, GW4[a]ELC, GW5[h]GIR, ",2.262295081967213,4.506813718125213,5775818.181818182,0.5117085777865424,1.164459459580828,2.0193320653276565,6.061335839763636,1.8399999999999928,4.840935701674674,9.560935701674673,26.700935701674677,77317.25193050044,158144.75193050044,463052.25193050044
