type,date
season start,2022-06-30 23:59:00
transfer window 1,2022-09-02 23:59:00
half_season start,2022-12-20 23:59:00
transfer_window 2,2023-02-02 23:59:00
recent_check,2023-02-17 00:00:00
today,2023-03-03 15:32:00
