team,player,pos,value [m],xP [k],xV [k],xP_gebyr [k],program,round,game
BVB,G. Reyna,M,3.5,3.9,1.1,-31.1,"GW1[a]CHE, ",2,CLK
BVB,M. Wolf,M,3.0,15.6,5.1,-14.8,"GW1[a]CHE, ",2,CLK
BVB,E. Can,M,3.0,13.2,4.4,-17.0,"GW1[a]CHE, ",2,CLK
BVB,S. Özcan,M,3.0,7.7,2.6,-22.5,"GW1[a]CHE, ",2,CLK
BVB,M. Dahoud,M,3.0,-1.3,-0.4,-31.3,"GW1[a]CHE, ",2,CLK
BVB,F. Passlack,M,2.5,-4.6,-1.8,-29.6,"GW1[a]CHE, ",2,CLK
BVB,A. Papadopoulos,M,2.0,-5.0,-2.5,-25.0,"GW1[a]CHE, ",2,CLK
BVB,G. Gürpüz,M,2.0,-5.0,-2.5,-25.0,"GW1[a]CHE, ",2,CLK
BVB,S. Haller,A,6.5,50.8,7.8,-14.6,"GW1[a]CHE, ",2,CLK
BVB,K. Adeyemi,A,5.2,32.1,6.2,-20.0,"GW1[a]CHE, ",2,CLK
BVB,A. Modeste,A,4.0,1.9,0.5,-38.4,"GW1[a]CHE, ",2,CLK
BVB,Y. Moukoko,A,4.0,0.7,0.2,-39.3,"GW1[a]CHE, ",2,CLK
BVB,D. Malen,A,4.0,-1.1,-0.3,-41.1,"GW1[a]CHE, ",2,CLK
BVB,J. Bynoe-Gittens,A,2.0,10.1,5.0,-10.2,"GW1[a]CHE, ",2,CLK
CHE,E. Mendy,G,4.5,-2.5,-0.6,-47.4,"GW1[h]BVB, ",2,CLK
CHE,K. Arrizabalaga,G,4.5,69.5,15.5,24.6,"GW1[h]BVB, ",2,CLK
CHE,M. Bettinelli,G,3.5,-5.0,-1.4,-40.0,"GW1[h]BVB, ",2,CLK
CHE,L. Bergström,G,3.5,-5.0,-1.4,-40.0,"GW1[h]BVB, ",2,CLK
CHE,R. James,F,4.5,55.1,12.3,10.2,"GW1[h]BVB, ",2,CLK
CHE,C. Azpilicueta,F,4.0,4.4,1.1,-35.6,"GW1[h]BVB, ",2,CLK
CHE,K. Koulibaly,F,4.0,44.7,11.2,4.7,"GW1[h]BVB, ",2,CLK
CHE,M. Cucurella,F,3.5,3.2,0.9,-31.7,"GW1[h]BVB, ",2,CLK
CHE,B. Chilwell,F,3.5,50.6,14.5,15.7,"GW1[h]BVB, ",2,CLK
CHE,T. Silva,F,3.5,48.4,14.0,13.7,"GW1[h]BVB, ",2,CLK
CHE,T. Chalobah,F,3.0,0.1,0.0,-29.9,"GW1[h]BVB, ",2,CLK
CHE,W. Fofana,F,2.5,-2.0,-0.8,-26.9,"GW1[h]BVB, ",2,CLK
CHE,K. Havertz,M,5.5,89.7,16.3,34.7,"GW1[h]BVB, ",2,CLK
CHE,M. Mount,M,5.0,7.8,1.6,-41.9,"GW1[h]BVB, ",2,CLK
CHE,C. Pulisic,M,4.5,-1.2,-0.3,-46.1,"GW1[h]BVB, ",2,CLK
CHE,E. Fernandez,M,4.0,48.7,12.2,8.7,"GW1[h]BVB, ",2,CLK
CHE,M. Mudryk,M,4.0,61.7,15.5,21.9,"GW1[h]BVB, ",2,CLK
CHE,H. Ziyech,M,4.0,71.2,17.9,31.5,"GW1[h]BVB, ",2,CLK
CHE,C. Gallagher,M,3.5,11.3,3.2,-23.7,"GW1[h]BVB, ",2,CLK
CHE,M. Kovacic,M,3.0,1.0,0.3,-29.0,"GW1[h]BVB, ",2,CLK
CHE,D. Zakaria,M,3.0,-5.0,-1.7,-35.0,"GW1[h]BVB, ",2,CLK
CHE,N. Kante,M,3.0,-5.0,-1.7,-35.0,"GW1[h]BVB, ",2,CLK
CHE,R. Loftus-Cheek,M,3.0,38.2,12.8,8.4,"GW1[h]BVB, ",2,CLK
CHE,L. Hall,M,2.5,-4.0,-1.6,-28.9,"GW1[h]BVB, ",2,CLK
CHE,C. Chukwuemeka,M,2.0,5.0,2.5,-15.0,"GW1[h]BVB, ",2,CLK
CHE,R. Sterling,A,6.5,5.0,0.8,-59.9,"GW1[h]BVB, ",2,CLK
CHE,J. Felix,A,4.5,84.1,18.7,39.2,"GW1[h]BVB, ",2,CLK
CHE,A. Broja,A,2.5,0.6,0.2,-24.3,"GW1[h]BVB, ",2,CLK
BRU,S. Mignolet,G,3.5,29.3,8.4,-5.5,"GW1[a]BEN, ",2,CLK
BRU,S. Lammens,G,3.0,-5.0,-1.7,-35.0,"GW1[a]BEN, ",2,CLK
BRU,J. Bursik,G,3.0,-5.0,-1.7,-35.0,"GW1[a]BEN, ",2,CLK
BRU,N. Shinton,G,2.5,-5.0,-2.0,-30.0,"GW1[a]BEN, ",2,CLK
BRU,A. Sylla,F,3.0,-5.0,-1.7,-35.0,"GW1[a]BEN, ",2,CLK
BRU,B. Meijer,F,3.0,12.9,4.3,-16.8,"GW1[a]BEN, ",2,CLK
BRU,B. Mechele,F,3.0,8.0,2.7,-21.8,"GW1[a]BEN, ",2,CLK
BRU,C. Mata,F,2.5,7.3,2.9,-17.5,"GW1[a]BEN, ",2,CLK
BRU,D. Odoi,F,2.5,8.1,3.3,-16.5,"GW1[a]BEN, ",2,CLK
BRU,D. Boyata,F,2.0,-5.0,-2.5,-25.0,"GW1[a]BEN, ",2,CLK
BRU,I. Hautekiet,F,2.0,-5.0,-2.5,-25.0,"GW1[a]BEN, ",2,CLK
BRU,J. Ordonez,F,2.0,-5.0,-2.5,-25.0,"GW1[a]BEN, ",2,CLK
BRU,K. Sabbe,F,2.0,-5.0,-2.5,-25.0,"GW1[a]BEN, ",2,CLK
BRU,J. Spileers,F,2.0,-5.0,-2.5,-25.0,"GW1[a]BEN, ",2,CLK
BRU,J. Hendry,F,2.0,5.9,3.0,-13.8,"GW1[a]BEN, ",2,CLK
BRU,H. Vanaken,M,3.0,24.6,8.3,-5.2,"GW1[a]BEN, ",2,CLK
BRU,M. Rits,M,2.5,-5.0,-2.0,-30.0,"GW1[a]BEN, ",2,CLK
BRU,C. Nielsen,M,2.5,-5.0,-2.0,-29.8,"GW1[a]BEN, ",2,CLK
BRU,R. Onyedika,M,2.5,-0.2,-0.1,-24.9,"GW1[a]BEN, ",2,CLK
BRU,E. Otasowie,M,2.0,-5.0,-2.5,-25.0,"GW1[a]BEN, ",2,CLK
BRU,L. Audoor,M,2.0,-5.0,-2.5,-25.0,"GW1[a]BEN, ",2,CLK
BRU,C. Sandra,M,2.0,-5.0,-2.5,-25.0,"GW1[a]BEN, ",2,CLK
BRU,A. Olsen,A,3.5,-5.0,-1.4,-40.0,"GW1[a]BEN, ",2,CLK
BRU,F. Jutgla,A,3.5,-5.0,-1.4,-39.8,"GW1[a]BEN, ",2,CLK
BRU,R. Yaremchuk,A,3.0,-5.0,-1.7,-35.0,"GW1[a]BEN, ",2,CLK
BRU,K. Sowah,A,3.0,16.7,5.6,-12.9,"GW1[a]BEN, ",2,CLK
BRU,A. Nusa,A,2.5,-5.0,-2.0,-30.0,"GW1[a]BEN, ",2,CLK
BRU,N. Lang,A,2.5,13.2,5.3,-11.5,"GW1[a]BEN, ",2,CLK
BRU,T. Buchanan,A,2.0,22.0,11.1,2.1,"GW1[a]BEN, ",2,CLK
FFM,K. Trapp,G,3.6,25.9,7.1,-10.3,"GW1[a]NAP, ",2,CLK
FFM,D. Ramaj,G,3.0,-5.0,-1.7,-35.0,"GW1[a]NAP, ",2,CLK
FFM,J. Horz,G,2.5,-5.0,-2.0,-30.0,"GW1[a]NAP, ",2,CLK
FFM,M. Bignetti,G,2.5,-5.0,-2.0,-30.0,"GW1[a]NAP, ",2,CLK
FFM,P. Max,F,4.0,0.0,0.0,-39.8,"GW1[a]NAP, ",2,CLK
FFM,E. N'Dicka,F,3.5,11.0,3.2,-23.7,"GW1[a]NAP, ",2,CLK
FFM,A. Buta,F,3.0,0.0,0.0,-29.8,"GW1[a]NAP, ",2,CLK
FFM,L. Silva Melo,F,3.0,9.6,3.2,-20.2,"GW1[a]NAP, ",2,CLK
FFM,H. Smolcic,F,2.5,0.0,0.0,-25.0,"GW1[a]NAP, ",2,CLK
FFM,M. Hasebe,F,2.5,0.0,0.0,-25.0,"GW1[a]NAP, ",2,CLK
FFM,C. Lenz,F,2.5,0.0,0.0,-24.9,"GW1[a]NAP, ",2,CLK
FFM,F. Otto,F,2.0,0.0,0.0,-20.0,"GW1[a]NAP, ",2,CLK
FFM,A. Toure,F,2.0,0.0,0.0,-20.0,"GW1[a]NAP, ",2,CLK
FFM,J. Schröder,F,2.0,0.0,0.0,-20.0,"GW1[a]NAP, ",2,CLK
FFM,D. Kamada,M,4.0,24.8,6.2,-15.1,"GW1[a]NAP, ",2,CLK
FFM,J. Lindstrøm,M,4.0,25.2,6.3,-14.5,"GW1[a]NAP, ",2,CLK
FFM,D. Sow,M,3.0,0.3,0.1,-29.4,"GW1[a]NAP, ",2,CLK
FFM,M. Götze,M,3.0,14.2,4.8,-15.4,"GW1[a]NAP, ",2,CLK
FFM,S. Rode,M,2.5,0.0,0.0,-25.0,"GW1[a]NAP, ",2,CLK
FFM,E. Dina Ebimbe,M,2.5,13.5,5.4,-11.5,"GW1[a]NAP, ",2,CLK
FFM,K. Jakic,M,2.5,4.0,1.6,-20.7,"GW1[a]NAP, ",2,CLK
FFM,T. Chandler,M,2.0,0.0,0.0,-20.0,"GW1[a]NAP, ",2,CLK
FFM,M. Loune,M,2.0,0.0,0.0,-20.0,"GW1[a]NAP, ",2,CLK
FFM,R. Kolo Muani,A,5.4,41.8,7.7,-12.6,"GW1[a]NAP, ",2,CLK
FFM,R. Borre,A,3.5,0.0,0.0,-34.9,"GW1[a]NAP, ",2,CLK
FFM,L. Alario,A,3.0,0.0,0.0,-30.0,"GW1[a]NAP, ",2,CLK
FFM,A. Knauff,A,3.0,0.0,0.0,-29.9,"GW1[a]NAP, ",2,CLK
FFM,F. Alidou,A,2.5,0.0,0.0,-24.9,"GW1[a]NAP, ",2,CLK
FCP,D. Costa,G,4.0,43.2,10.8,3.2,"GW1[h]INT, ",2,CLK
FCP,C. Ramos,G,3.5,-5.0,-1.4,-40.0,"GW1[h]INT, ",2,CLK
FCP,F. Meixedo,G,3.0,-5.0,-1.7,-35.0,"GW1[h]INT, ",2,CLK
