team,player,pos,value [m],xV GW1 [k],xV GW1-3 [k],xV GW1-5 [k],xV seas [k],xP%gebyr_GW_1-3 [k],xP_GW_1-3 [k],xG_GW_1-3,xGI_GW_1-3,xP_GW1 [k],xV GW1 [k],xP%gebyr_GW1 [k],xG_GW1,xGI_GW1,xP%gebyr_GW_1-5 [k],xP_GW_1-5 [k],xG_GW_1-5,xGI_GW_1-5,xP_GW_all [k],xG_GW_all,xGI_GW_all,xP%gebyr_GW_all [k],sp_GW1,xGP,pop,xG%,xA%,game
ACM,C. De Ketelaere,A,4.0,0.0,0.0,0.0,0.0,-40.4,0.0,0.0,0.0,0.0,0.0,-40.4,0.0,0.0,-40.4,0.0,0.0,0.0,0.0,0.0,0.0,-40.4,,,0.32,0.12,0.1,CLK
ACM,A. Rebic,A,4.0,0.0,0.0,0.0,0.0,-40.3,0.0,0.0,0.0,0.0,0.0,-40.3,0.0,0.0,-40.3,0.0,0.0,0.0,0.0,0.0,0.0,-40.3,,,0.26,0.15,0.12,CLK
ACM,J. Messias,A,4.0,0.0,0.0,0.0,0.0,-40.3,0.0,0.0,0.0,0.0,0.0,-40.3,0.0,0.0,-40.3,0.0,0.0,0.0,0.0,0.0,0.0,-40.3,,,0.0,0.12,0.14,CLK
ACM,D. Origi,A,3.0,0.0,0.0,0.0,0.0,-30.0,0.0,0.0,0.0,0.0,0.0,-30.0,0.0,0.0,-30.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.0,,,0.07,0.22,0.05,CLK
BAY,Y. Sommer,G,5.1,12.9,4.3,2.6,2.1,14.9,66.3,0.0,0.0,66.3,12.9,14.9,0.0,0.0,14.9,66.3,0.0,0.0,66.3,0.0,0.0,14.9,0.95,0.95,2.9,0.0,0.0,CLK
BAY,M. Neuer,G,5.0,-0.3,-0.1,-0.1,-0.1,-51.5,-1.5,0.0,0.0,-1.5,-0.3,-51.5,0.0,0.0,-51.5,-1.5,0.0,0.0,-1.5,0.0,0.0,-51.5,0.0,0.16,0.0,0.0,0.0,CLK
BAY,S. Ulreich,G,4.5,-0.9,-0.3,-0.2,-0.2,-49.1,-4.1,0.0,0.0,-4.1,-0.9,-49.1,0.0,0.0,-49.1,-4.1,0.0,0.0,-4.1,0.0,0.0,-49.1,0.0,0.04,0.0,0.0,0.0,CLK
BAY,J. Schenk,G,4.0,-1.3,-0.4,-0.3,-0.2,-45.0,-5.0,0.0,0.0,-5.0,-1.3,-45.0,0.0,0.0,-45.0,-5.0,0.0,0.0,-5.0,0.0,0.0,-45.0,0.0,0.0,0.0,0.0,0.0,CLK
BAY,A. Davies,F,5.1,0.0,0.0,0.0,0.0,-51.0,0.0,0.0,0.0,0.0,0.0,-51.0,0.0,0.0,-51.0,0.0,0.0,0.0,0.0,0.0,0.0,-51.0,,,0.71,0.03,0.09,CLK
BAY,M. de Ligt,F,5.1,7.6,2.5,1.5,1.3,-12.0,38.9,0.04,0.06,38.9,7.6,-12.0,0.04,0.06,-12.0,38.9,0.04,0.06,38.9,0.04,0.06,-12.0,0.95,0.95,1.29,0.02,0.02,CLK
BAY,D. Upamecano,F,5.1,7.0,2.3,1.4,1.2,-15.3,35.7,0.02,0.06,35.7,7.0,-15.3,0.02,0.06,-15.3,35.7,0.02,0.06,35.7,0.02,0.06,-15.3,0.95,0.95,0.45,0.01,0.03,CLK
BAY,B. Pavard,F,5.1,8.2,2.7,1.6,1.4,-8.9,41.8,0.03,0.1,41.8,8.2,-8.9,0.03,0.1,-8.9,41.8,0.03,0.1,41.8,0.03,0.1,-8.9,0.95,0.95,0.13,0.02,0.06,CLK
BAY,J. Cancelo,F,5.0,9.7,3.2,1.9,1.6,-1.6,48.7,0.06,0.17,48.7,9.7,-1.6,0.06,0.17,-1.6,48.7,0.06,0.17,48.7,0.06,0.17,-1.6,0.95,0.95,9.74,0.04,0.09,CLK
BAY,N. Mazraoui,F,4.5,0.0,0.0,0.0,0.0,-45.0,0.0,0.0,0.0,0.0,0.0,-45.0,0.0,0.0,-45.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.0,,,0.07,0.04,0.04,CLK
BAY,L. Hernandez,F,4.0,0.0,0.0,0.0,0.0,-40.0,0.0,0.0,0.0,0.0,0.0,-40.0,0.0,0.0,-40.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.0,,,0.19,0.01,0.03,CLK
BAY,J. Stanisic,F,3.5,0.0,0.0,0.0,0.0,-35.3,0.0,0.0,0.0,0.0,0.0,-35.3,0.0,0.0,-35.3,0.0,0.0,0.0,0.0,0.0,0.0,-35.3,,,0.0,0.02,0.04,CLK
BAY,D. Blind,F,3.5,0.0,0.0,0.0,0.0,-35.0,0.0,0.0,0.0,0.0,0.0,-35.0,0.0,0.0,-35.0,0.0,0.0,0.0,0.0,0.0,0.0,-35.0,,,0.13,0.03,0.02,CLK
BAY,B. Sarr,F,3.0,0.0,0.0,0.0,0.0,-30.0,0.0,0.0,0.0,0.0,0.0,-30.0,0.0,0.0,-30.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.0,,,0.0,0.04,0.11,CLK
BAY,J. Kimmich,M,5.6,6.9,2.3,1.4,1.1,-17.3,38.3,0.06,0.23,38.3,6.9,-17.3,0.06,0.23,-17.3,38.3,0.06,0.23,38.3,0.06,0.23,-17.3,0.95,0.95,2.65,0.04,0.14,CLK
BAY,L. Goretzka,M,5.5,9.8,3.3,2.0,1.6,-1.3,54.1,0.17,0.26,54.1,9.8,-1.3,0.17,0.26,-1.3,54.1,0.17,0.26,54.1,0.17,0.26,-1.3,0.95,0.95,4.45,0.1,0.08,CLK
