player,team,PF,P_all,P_T100,P_T1000,CP_all,CP_T100,CP_T1000,CP_all_diff,CP_T100_diff,CP_T1000_diff,P_all_diff,P_T100_diff,P_T1000_diff,P_rookies%,P_exp%,P_vets%,trend,pos,game
D. Boyata,BRU,0.2,0.2,0.0,0.0,,,,,,,-0.1,0.0,-0.1,0.2,0.2,0.2,-0.9,F,CL
H. Ziyech,CHE,0.2,0.2,0.0,0.0,,,,,,,-0.2,-1.0,-0.8,0.1,0.3,0.2,0.0,M,CL
C. Lenz,FFM,0.2,0.2,0.0,0.0,,,,,,,-0.1,0.0,0.0,0.3,0.1,0.1,0.0,F,CL
C. Chukwuemeka,CHE,0.2,0.2,0.0,0.0,,,,,,,-0.1,0.0,0.0,0.3,0.1,0.1,0.9,M,CL
S. Ulreich,BAY,0.2,0.2,0.0,0.1,,,,,,,-0.3,0.0,-0.1,0.3,0.1,0.0,-2.7,G,CL
I. Marcano,FCP,0.2,0.2,0.0,0.1,,,,,,,-0.0,0.0,-0.1,0.1,0.1,0.4,-0.9,F,CL
R. Lukaku,INT,0.2,0.2,0.0,0.0,,,,,,,0.1,0.0,0.0,0.1,0.2,0.4,0.0,A,CL
F. Otto,FFM,0.2,0.1,0.0,0.0,,,,,,,0.1,0.0,0.0,0.3,0.0,0.0,0.9,F,CL
J. Draxler,BEN,0.2,0.1,0.0,0.0,,,,,,,0.1,0.0,0.0,0.2,0.1,0.0,1.8,M,CL
L. Østigard,NAP,0.2,0.2,0.0,0.2,,,,,,,0.0,0.0,0.0,0.2,0.2,0.1,-1.8,F,CL
Wendell,FCP,0.1,0.2,1.0,0.2,,,,,,,0.0,1.0,0.2,0.1,0.3,0.1,-0.9,F,CL
T. Alcantara,LIV,0.1,0.2,0.0,0.0,,,,,,,-0.0,0.0,0.0,0.3,0.0,0.0,-0.9,M,CL
K. Asllani,INT,0.1,0.1,0.0,0.0,,,,,,,0.0,0.0,0.0,0.2,0.1,0.0,0.0,M,CL
I. Gharbi,PSG,0.1,0.1,0.0,0.0,,,,,,,0.0,0.0,0.0,0.3,0.1,0.0,0.0,M,CL
M. Grujic,FCP,0.1,0.1,0.0,0.0,,,,,,,0.0,0.0,0.0,0.2,0.1,0.1,1.8,M,CL
V. Carboni,INT,0.1,0.1,0.0,0.0,,,,,,,0.0,0.0,0.0,0.1,0.0,0.2,1.8,M,CL
J. Spileers,BRU,0.1,0.1,0.0,0.0,,,,,,,-0.0,0.0,-0.1,0.2,0.1,0.0,-0.9,F,CL
H. Smolcic,FFM,0.1,0.1,0.0,0.0,,,,,,,-0.0,0.0,-0.1,0.1,0.1,0.2,-0.9,F,CL
S. Handanovic,INT,0.1,0.1,0.0,0.0,,,,,,,0.1,0.0,0.0,0.1,0.1,0.0,0.0,G,CL
J. Stones,MAC,0.1,0.1,0.0,0.0,,,,,,,-0.1,-2.0,-0.4,0.2,0.1,0.0,0.0,F,CL
K. Koulibaly,CHE,0.1,0.1,0.0,0.0,,,,,,,-0.0,0.0,0.0,0.2,0.1,0.0,0.9,F,CL
C. Azpilicueta,CHE,0.1,0.1,0.0,0.0,,,,,,,0.0,0.0,0.0,0.1,0.2,0.1,-2.7,F,CL
J. Gomez,LIV,0.1,0.1,0.0,0.0,,,,,,,-0.1,0.0,0.0,0.1,0.1,0.0,-0.9,F,CL
S. Ortega Moreno,MAC,0.1,0.1,0.0,0.0,,,,,,,-0.3,0.0,-0.6,0.2,0.0,0.2,-0.9,G,CL
G. Gaetano,NAP,0.1,0.1,0.0,0.0,,,,,,,-0.0,0.0,0.0,0.1,0.1,0.1,-0.9,M,CL
A. Knauff,FFM,0.1,0.1,0.0,0.0,,,,,,,0.1,0.0,0.0,0.1,0.1,0.0,0.0,A,CL
F. Ruiz,PSG,0.1,0.1,0.0,0.0,,,,,,,-0.2,0.0,-0.1,0.2,0.0,0.1,0.0,M,CL
C. De Ketelaere,ACM,0.1,0.1,0.0,0.0,,,,,,,-0.1,0.0,0.0,0.1,0.1,0.0,0.9,A,CL
A. Schjelderup,BEN,0.1,0.1,0.0,0.1,,,,,,,0.0,0.0,0.0,0.1,0.1,0.1,0.9,M,CL
E. Can,BVB,0.1,0.1,0.0,0.0,,,,,,,0.0,0.0,0.0,0.1,0.0,0.1,0.9,M,CL
J. Henderson,LIV,0.1,0.1,0.0,0.0,,,,,,,0.0,0.0,0.0,0.1,0.1,0.1,0.9,M,CL
D. Pereira,PSG,0.1,0.1,1.0,0.1,,,,,,,0.1,1.0,0.1,0.1,0.2,0.0,-1.8,M,CL
M. Simakan,RBL,0.1,0.1,0.0,0.0,,,,,,,-0.1,-2.0,-0.6,0.1,0.1,0.0,-1.8,F,CL
L. Hernandez,BAY,0.1,0.1,0.0,0.0,,,,,,,-0.0,0.0,0.0,0.2,0.0,0.0,-0.9,F,CL
J. Hendry,BRU,0.1,0.1,0.0,0.1,,,,,,,0.0,0.0,0.0,0.0,0.1,0.2,0.0,F,CL
D. Sow,FFM,0.1,0.1,0.0,0.0,,,,,,,-0.1,0.0,-0.2,0.2,0.0,0.0,0.0,M,CL
R. Borre,FFM,0.1,0.1,0.0,0.0,,,,,,,0.0,0.0,0.0,0.1,0.1,0.0,0.0,A,CL
A. Haidara,RBL,0.1,0.1,0.0,0.0,,,,,,,0.0,0.0,0.0,0.1,0.1,0.1,0.0,M,CL
K. Kampl,RBL,0.1,0.1,0.0,0.0,,,,,,,0.0,0.0,0.0,0.1,0.1,0.1,0.0,M,CL
A. Silva,RBL,0.1,0.1,0.0,0.0,,,,,,,-0.2,0.0,-0.2,0.2,0.0,0.1,0.0,A,CL
E. Cossa,FCP,0.1,0.1,0.0,0.0,,,,,,,0.0,0.0,0.0,0.1,0.1,0.0,0.9,A,CL
J. Vallejo,RMA,0.1,0.1,0.0,0.0,,,,,,,-0.0,0.0,0.0,0.2,0.0,0.0,0.9,F,CL
D. Calabria,ACM,0.1,0.1,0.0,0.0,,,,,,,0.0,0.0,0.0,0.1,0.1,0.0,-1.8,F,CL
A. Diallo,RBL,0.1,0.1,0.0,0.0,,,,,,,0.0,0.0,0.0,0.2,0.0,0.0,-0.9,F,CL
F. Ballo-Toure,ACM,0.1,0.1,0.0,0.0,,,,,,,-0.0,0.0,-0.1,0.1,0.0,0.1,0.0,F,CL
B. Costa,FCP,0.1,0.1,0.0,0.0,,,,,,,-0.0,0.0,0.0,0.1,0.0,0.0,0.0,M,CL
D. D'Ambrosio,INT,0.1,0.1,0.0,0.0,,,,,,,0.0,0.0,0.0,0.1,0.0,0.0,0.0,F,CL
R. Bellanova,INT,0.1,0.1,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.1,0.2,0.0,F,CL
J. Matip,LIV,0.1,0.1,0.0,0.1,,,,,,,0.0,0.0,0.1,0.1,0.0,0.1,0.0,F,CL
C. Jones,LIV,0.1,0.1,0.0,0.0,,,,,,,-0.0,0.0,0.0,0.2,0.0,0.0,0.0,M,CL
D. Jota,LIV,0.1,0.1,0.0,0.0,,,,,,,-0.0,0.0,0.0,0.1,0.0,0.0,0.0,A,CL
A. Rebic,ACM,0.1,0.1,0.0,0.0,,,,,,,-0.0,0.0,0.0,0.1,0.0,0.0,0.9,A,CL
J. Tanganga,TOT,0.1,0.1,0.0,0.0,,,,,,,0.0,0.0,0.0,0.1,0.0,0.0,0.9,F,CL
E. Hazard,RMA,0.1,0.1,0.0,0.0,,,,,,,-0.1,0.0,0.0,0.1,0.1,0.0,-2.7,A,CL
N. Lang,BRU,0.1,0.1,0.0,0.0,,,,,,,0.0,0.0,0.0,0.1,0.0,0.1,-0.9,A,CL
D. Origi,ACM,0.1,0.1,0.0,0.0,,,,,,,-0.0,0.0,0.0,0.1,0.1,0.0,0.0,A,CL
M. de Ligt,BAY,0.1,0.1,0.0,0.0,,,,,,,-0.0,0.0,0.0,0.1,0.0,0.1,0.0,F,CL
D. Blind,BAY,0.1,0.1,0.0,0.0,,,,,,,-0.1,0.0,0.0,0.1,0.0,0.0,0.0,F,CL
S. Soares,BEN,0.1,0.1,0.0,0.0,,,,,,,0.0,0.0,0.0,0.1,0.0,0.0,0.0,G,CL
N. Kante,CHE,0.1,0.1,0.0,0.0,,,,,,,-0.0,0.0,0.0,0.1,0.0,0.0,0.0,M,CL
C. Mata,BRU,0.1,0.1,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.1,0.1,0.0,F,CL
M. Hasebe,FFM,0.1,0.1,0.0,0.0,,,,,,,0.0,0.0,0.0,0.1,0.1,0.0,0.0,F,CL
A. Martinez,FCP,0.1,0.1,0.0,0.0,,,,,,,0.0,0.0,0.0,0.1,0.1,0.0,0.0,A,CL
Ø. Nyland,RBL,0.1,0.1,0.0,0.0,,,,,,,-0.1,0.0,-0.4,0.1,0.0,0.0,0.0,G,CL
C. Tengstedt,BEN,0.1,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.1,0.0,0.9,A,CL
Y. Poulsen,RBL,0.1,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.1,0.0,0.0,1.8,A,CL
A. Rodriguez,RMA,0.1,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2.7,A,CL
H. Ekitike,PSG,0.0,0.1,0.0,0.0,,,,,,,0.0,0.0,0.0,0.1,0.1,0.0,-1.8,A,CL
A. Papadopoulos,BVB,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.1,0.0,0.0,M,CL
C. Sandra,BRU,0.0,0.0,0.0,0.0,,,,,,,-0.0,0.0,0.0,0.0,0.1,0.0,0.0,M,CL
J. Schröder,FFM,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.1,0.0,0.0,0.0,F,CL
E. Dina Ebimbe,FFM,0.0,0.0,0.0,0.0,,,,,,,-0.2,-1.0,-0.4,0.1,0.0,0.0,0.0,M,CL
B. Bereszynski,NAP,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.1,0.1,0.0,F,CL
K. Laimer,RBL,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.1,0.0,0.0,0.0,M,CL
L. Verissimo,BEN,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.9,F,CL
G. Gürpüz,BVB,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.1,0.0,0.0,0.9,M,CL
J. Bursik,BRU,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.1,0.0,0.9,G,CL
L. Alario,FFM,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.9,A,CL
K. Phillips,MAC,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.9,M,CL
S. Ba,RBL,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.1,0.0,0.0,0.9,F,CL
R. Yaremchuk,BRU,0.0,0.1,0.0,0.0,,,,,,,0.0,0.0,0.0,0.1,0.0,0.2,-1.8,A,CL
A. Franco,FCP,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.1,0.0,0.0,-0.9,M,CL
A. Mirante,ACM,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.1,0.0,0.0,G,CL
D. Moreira,BEN,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,CL
D. Zakaria,CHE,0.0,0.0,0.0,0.0,,,,,,,-0.0,0.0,0.0,0.1,0.0,0.0,0.0,M,CL
E. Otasowie,BRU,0.0,0.0,0.0,0.1,,,,,,,0.0,0.0,0.1,0.0,0.0,0.1,0.0,M,CL
L. Audoor,BRU,0.0,0.0,0.0,0.0,,,,,,,-0.0,0.0,0.0,0.1,0.0,0.0,0.0,M,CL
A. Toure,FFM,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.1,0.0,0.0,0.0,F,CL
B. Folha,FCP,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,CL
M. Zanotti,INT,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.1,0.0,0.0,0.0,F,CL
R. Gagliardini,INT,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,CL
N. Phillips,LIV,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,CL
D. Olmo,RBL,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.1,0.0,0.0,M,CL
I. Bravo,RMA,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.1,0.0,A,CL
L. Moura,TOT,0.0,0.0,0.0,0.0,,,,,,,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,A,CL
A. Ibrahimovic,BAY,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.9,A,CL
I. Konate,LIV,0.0,0.1,0.0,0.0,,,,,,,-0.1,-1.0,-0.4,0.1,0.0,0.0,-3.6,F,CL
E. Bitshiabu,PSG,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.1,0.0,0.0,-0.9,F,CL
A. Coubis,ACM,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,CL
J. Messias,ACM,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A,CL
B. Sarr,BAY,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,CL
P. Wanner,BAY,0.0,0.0,0.0,0.0,,,,,,,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,CL
M. Wolf,BVB,0.0,0.0,0.0,0.0,,,,,,,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,M,CL
F. Passlack,BVB,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,CL
D. Malen,BVB,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A,CL
S. Lammens,BRU,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,G,CL
K. Sabbe,BRU,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,CL
I. Hautekiet,BRU,0.0,0.0,0.0,0.0,,,,,,,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,CL
M. Rits,BRU,0.0,0.0,0.0,0.1,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,CL
A. Nusa,BRU,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A,CL
K. Jakic,FFM,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,CL
T. Chandler,FFM,0.0,0.0,0.0,0.0,,,,,,,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,CL
F. Alidou,FFM,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A,CL
A. Fontanarosa,INT,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,CL
H. Davies,LIV,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,G,CL
N. Keita,LIV,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,CL
A. Odriozola,RMA,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,CL
S. Arribas Calvo,RMA,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M,CL
A. Whiteman,TOT,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,G,CL
L. Nava,ACM,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.9,G,CL
K. Kvaratskhelia,NAP,73.2,72.6,70.0,0.0,,,,,,,,,,36.5,43.6,40.9,8.1,M,CLK
J. Mario,BEN,55.7,55.0,77.0,0.0,,,,,,,,,,23.8,32.6,35.2,10.8,M,CLK
V. Osimhen,NAP,50.7,49.8,69.0,0.0,,,,,,,,,,23.3,29.4,30.4,12.6,A,CLK
A. Bah,BEN,43.3,41.7,42.0,0.0,,,,,,,,,,20.5,24.8,24.2,22.5,F,CLK
A. Silva,BEN,42.1,41.2,54.0,0.0,,,,,,,,,,17.5,23.9,27.4,13.5,F,CLK
E. Håland,MAC,41.2,41.7,3.0,0.0,,,,,,,,,,21.5,21.9,27.4,-7.2,A,CLK
O. Vlachodimos,BEN,38.6,38.1,50.0,0.0,,,,,,,,,,19.5,22.4,21.7,7.2,G,CLK
M. Kim,NAP,34.1,32.5,30.0,0.0,,,,,,,,,,17.2,19.0,18.2,21.6,F,CLK
A. Zambo Anguissa,NAP,33.2,30.5,32.0,0.0,,,,,,,,,,18.2,18.8,13.5,38.7,M,CLK
J. Grealish,MAC,32.7,31.7,26.0,0.0,,,,,,,,,,15.4,18.5,19.2,13.5,M,CLK
F. Aursnes,BEN,32.2,29.9,32.0,0.0,,,,,,,,,,11.9,16.4,22.2,31.5,M,CLK
G. Ramos,BEN,31.6,30.3,30.0,0.0,,,,,,,,,,21.8,18.1,10.7,18.0,A,CLK
R. Lewis,MAC,31.3,35.2,34.0,0.0,,,,,,,,,,20.0,21.4,17.2,-54.9,F,CLK
G. Guedes,BEN,29.5,29.0,22.0,0.0,,,,,,,,,,9.9,16.9,21.7,7.2,A,CLK
A. Laporte,MAC,25.6,27.9,15.0,0.0,,,,,,,,,,12.2,19.0,14.2,-32.4,F,CLK
J. Felix,CHE,24.0,24.3,22.0,0.0,,,,,,,,,,13.2,14.9,12.2,-3.6,A,CLK
M. Thiaw,ACM,19.3,17.9,14.0,0.0,,,,,,,,,,5.6,10.6,13.7,19.8,F,CLK
E. Moraes,MAC,18.2,18.2,13.0,0.0,,,,,,,,,,6.8,11.8,11.2,0.0,G,CLK
A. Grimaldo,BEN,16.9,16.6,20.0,0.0,,,,,,,,,,8.6,8.2,11.7,3.6,F,CLK
M. Akanji,MAC,16.6,15.7,17.0,0.0,,,,,,,,,,6.6,9.7,9.7,12.6,F,CLK
E. Choupo-Moting,BAY,12.1,12.1,14.0,0.0,,,,,,,,,,5.8,7.5,6.7,-0.9,A,CLK
A. Meret,NAP,11.6,11.4,16.0,0.0,,,,,,,,,,5.6,6.7,6.7,3.6,G,CLK
L. Martinez,INT,10.8,11.5,7.0,0.0,,,,,,,,,,6.1,5.8,7.7,-9.0,A,CLK
M. Mudryk,CHE,10.5,11.9,1.0,0.0,,,,,,,,,,8.4,6.3,5.5,-19.8,M,CLK
K. De Bruyne,MAC,10.1,10.7,2.0,0.0,,,,,,,,,,6.6,5.8,5.7,-8.1,M,CLK
O. Giroud,ACM,9.8,10.5,10.0,0.0,,,,,,,,,,4.6,6.5,6.2,-9.0,A,CLK
J. Cancelo,BAY,9.7,9.9,7.0,0.0,,,,,,,,,,4.8,6.5,5.0,-2.7,F,CLK
M. Rui,NAP,9.6,10.8,8.0,0.0,,,,,,,,,,6.3,5.6,6.5,-18.0,F,CLK
K. Coman,BAY,9.3,8.4,21.0,0.0,,,,,,,,,,3.8,5.0,5.2,12.6,A,CLK
R. Mahrez,MAC,9.1,8.6,12.0,0.0,,,,,,,,,,3.8,6.5,3.5,6.3,A,CLK
N. Schlotterbeck,BVB,8.1,8.4,16.0,0.0,,,,,,,,,,3.5,4.6,6.0,-3.6,F,CLK
N. Otamendi,BEN,8.0,7.1,9.0,0.0,,,,,,,,,,4.3,3.9,3.7,12.6,F,CLK
F. Forster,TOT,7.8,8.0,2.0,0.0,,,,,,,,,,5.1,4.3,4.2,-2.7,G,CLK
S. Bajcetic,LIV,7.5,8.1,4.0,0.0,,,,,,,,,,4.1,4.4,5.2,-9.0,F,CLK
B. Diaz,ACM,7.4,7.2,10.0,0.0,,,,,,,,,,2.8,5.5,3.2,1.8,M,CLK
A. Onana,INT,7.2,7.1,8.0,0.0,,,,,,,,,,5.8,3.8,2.5,0.9,G,CLK
W. Zaire-Emery,PSG,7.1,8.0,6.0,0.0,,,,,,,,,,3.3,4.4,5.7,-12.6,M,CLK
V. Junior,RMA,6.8,4.4,17.0,0.0,,,,,,,,,,2.8,3.1,1.2,34.2,A,CLK
F. Dimarco,INT,6.8,7.1,7.0,0.0,,,,,,,,,,2.0,5.3,4.0,-4.5,F,CLK
K. Benzema,RMA,6.4,5.5,33.0,0.0,,,,,,,,,,2.8,2.9,3.7,12.6,A,CLK
M. Darmian,INT,6.2,6.5,6.0,0.0,,,,,,,,,,3.8,3.6,3.5,-3.6,F,CLK
A. Rrahmani,NAP,6.1,5.0,10.0,0.0,,,,,,,,,,1.0,3.6,3.5,15.3,F,CLK
G. Di Lorenzo,NAP,5.9,5.5,16.0,0.0,,,,,,,,,,3.8,2.6,3.2,5.4,F,CLK
K. Havertz,CHE,5.7,5.7,3.0,0.0,,,,,,,,,,1.5,3.2,4.7,0.9,M,CLK
D. Neres,BEN,5.5,5.2,13.0,0.0,,,,,,,,,,1.8,3.4,3.2,5.4,M,CLK
R. Guerreiro,BVB,5.4,5.2,9.0,0.0,,,,,,,,,,3.8,1.7,3.7,2.7,F,CLK
J. Musiala,BAY,5.3,5.3,3.0,0.0,,,,,,,,,,4.3,1.9,3.2,0.0,A,CLK
P. Zielinski,NAP,5.0,4.6,2.0,0.0,,,,,,,,,,3.0,2.4,2.5,5.4,M,CLK
S. Kjær,ACM,4.5,4.6,2.0,0.0,,,,,,,,,,1.3,3.8,2.2,-1.8,F,CLK
L. Goretzka,BAY,4.5,4.8,2.0,0.0,,,,,,,,,,2.8,2.1,3.5,-4.5,M,CLK
F. Valverde,RMA,4.4,4.3,13.0,0.0,,,,,,,,,,2.5,2.2,2.5,2.7,M,CLK
R. Hernandez,MAC,4.3,4.3,5.0,0.0,,,,,,,,,,2.5,2.2,2.5,0.9,M,CLK
N. Ake,MAC,4.3,3.6,0.0,0.0,,,,,,,,,,3.3,1.4,1.7,9.0,F,CLK
J. Alvarez,MAC,4.2,5.5,4.0,0.0,,,,,,,,,,3.0,4.1,1.7,-18.9,A,CLK
I. Gündogan,MAC,4.1,4.0,5.0,0.0,,,,,,,,,,1.8,3.4,1.0,0.9,M,CLK
B. Silva,MAC,3.7,3.7,3.0,0.0,,,,,,,,,,2.3,1.9,2.2,0.0,M,CLK
Chiquinho,BEN,3.6,3.5,9.0,0.0,,,,,,,,,,2.0,1.4,2.7,1.8,M,CLK
R. Leão,ACM,3.5,3.6,2.0,0.0,,,,,,,,,,2.3,2.7,0.7,-0.9,A,CLK
P. Sarr,TOT,3.5,3.5,0.0,0.0,,,,,,,,,,2.5,1.9,1.5,0.0,M,CLK
S. Lobotka,NAP,3.3,2.6,4.0,0.0,,,,,,,,,,2.0,1.2,1.2,10.8,M,CLK
Pepe,FCP,3.3,2.8,1.0,0.0,,,,,,,,,,2.3,0.9,2.0,6.3,F,CLK
T. Hernandez,ACM,3.2,3.4,3.0,0.0,,,,,,,,,,0.3,2.9,2.0,-2.7,F,CLK
J. Bellingham,BVB,3.2,3.2,3.0,0.0,,,,,,,,,,3.3,1.7,0.5,-0.9,M,CLK
G. Reyna,BVB,2.9,4.4,7.0,0.0,,,,,,,,,,1.8,3.4,1.7,-20.7,M,CLK
Y. Sommer,BAY,2.9,2.8,2.0,0.0,,,,,,,,,,1.0,1.4,2.5,0.9,G,CLK
S. Haller,BVB,2.8,3.2,2.0,0.0,,,,,,,,,,0.3,2.7,2.0,-6.3,A,CLK
J. Lindstrøm,FFM,2.7,3.7,2.0,0.0,,,,,,,,,,2.5,2.4,1.2,-14.4,M,CLK
J. Kimmich,BAY,2.6,2.7,5.0,0.0,,,,,,,,,,1.5,1.5,1.5,-0.9,M,CLK
H. Lozano,NAP,2.6,1.7,0.0,0.0,,,,,,,,,,0.8,0.9,1.2,13.5,A,CLK
D. Ceballos,RMA,2.5,1.5,3.0,0.0,,,,,,,,,,1.0,1.0,0.5,13.5,M,CLK
H. Vanaken,BRU,2.5,2.7,1.0,0.0,,,,,,,,,,1.5,1.7,1.2,-3.6,M,CLK
C. Tatarusanu,ACM,2.5,2.5,2.0,0.0,,,,,,,,,,0.5,1.9,1.5,0.0,G,CLK
R. James,CHE,2.4,2.5,2.0,0.0,,,,,,,,,,1.8,1.5,0.7,-0.9,F,CLK
R. Krunic,ACM,2.3,2.2,1.0,0.0,,,,,,,,,,1.0,1.7,0.7,0.9,M,CLK
M. Olivera,NAP,2.2,0.1,0.0,0.0,,,,,,,,,,0.3,0.0,0.0,29.7,F,CLK
J. Ryerson,BVB,2.2,2.6,2.0,0.0,,,,,,,,,,1.5,1.2,1.7,-5.4,F,CLK
E. Fernandez,CHE,2.2,2.6,0.0,0.0,,,,,,,,,,2.3,1.5,0.5,-5.4,M,CLK
O. Skipp,TOT,2.2,1.4,0.0,0.0,,,,,,,,,,0.5,0.7,1.2,10.8,M,CLK
J. Brandt,BVB,2.1,2.3,2.0,0.0,,,,,,,,,,1.0,1.4,1.5,-2.7,M,CLK
K. Arrizabalaga,CHE,2.1,2.2,2.0,0.0,,,,,,,,,,1.5,1.0,1.2,-0.9,G,CLK
J. Bynoe-Gittens,BVB,2.1,1.5,3.0,0.0,,,,,,,,,,1.0,0.9,0.7,7.2,A,CLK
R. Silva,BEN,2.0,2.2,2.0,0.0,,,,,,,,,,1.0,1.7,0.7,-2.7,M,CLK
L. Messi,PSG,1.9,2.8,0.0,0.0,,,,,,,,,,1.3,2.6,0.5,-12.6,A,CLK
K. Mbappe,PSG,1.9,2.1,0.0,0.0,,,,,,,,,,2.5,1.0,0.0,-1.8,A,CLK
D. Carvajal,RMA,1.9,1.3,4.0,0.0,,,,,,,,,,0.8,0.9,0.5,8.1,F,CLK
T. Silva,CHE,1.8,2.1,0.0,0.0,,,,,,,,,,0.8,1.2,1.5,-3.6,F,CLK
H. Kane,TOT,1.8,2.1,0.0,0.0,,,,,,,,,,1.3,1.4,0.7,-3.6,A,CLK
G. Kobel,BVB,1.8,1.5,0.0,0.0,,,,,,,,,,0.5,1.4,0.5,3.6,G,CLK
N. Mendes,PSG,1.8,2.8,0.0,0.0,,,,,,,,,,0.5,2.2,1.7,-15.3,F,CLK
M. Uribe,FCP,1.7,1.7,3.0,0.0,,,,,,,,,,1.0,1.4,0.2,0.9,M,CLK
E. Royal,TOT,1.7,1.5,1.0,0.0,,,,,,,,,,0.5,1.2,0.7,1.8,F,CLK
N. Barella,INT,1.6,1.7,0.0,0.0,,,,,,,,,,1.3,0.9,0.7,-0.9,M,CLK
S. Tonali,ACM,1.6,1.5,2.0,0.0,,,,,,,,,,0.5,1.0,1.0,0.9,M,CLK
S. Mignolet,BRU,1.6,1.9,0.0,0.0,,,,,,,,,,1.3,1.4,0.5,-5.4,G,CLK
M. Reus,BVB,1.5,1.5,2.0,0.0,,,,,,,,,,0.5,0.7,1.5,0.0,M,CLK
D. Dumfries,INT,1.5,1.5,1.0,0.0,,,,,,,,,,1.0,1.0,0.5,0.0,M,CLK
D. Costa,FCP,1.5,1.4,3.0,0.0,,,,,,,,,,0.5,0.3,1.7,1.8,G,CLK
R. Dias,MAC,1.5,1.4,2.0,0.0,,,,,,,,,,0.5,0.7,1.2,1.8,F,CLK
