player,team,PF,P_all,P_T100,P_T1000,CP_all,CP_T100,CP_T1000,CP_all_diff,CP_T100_diff,CP_T1000_diff,P_all_diff,P_T100_diff,P_T1000_diff,P_rookies%,P_exp%,P_vets%,trend,pos,game
M. Svanberg,WOB,7.1,7.0,3.0,6.2,,,,,,,-2.7,-5.0,-2.6,6.9,7.7,6.0,0.9,M,BL
A. Hlozek,B04,6.8,6.7,5.0,5.9,,,,,,,-1.5,-2.0,-2.5,4.4,7.4,7.0,1.8,A,BL
O. Christensen,BSC,6.7,6.8,1.0,4.9,,,,,,,0.4,1.0,-0.1,8.8,6.4,6.0,-0.9,G,BL
D. Sow,FFM,6.6,8.2,2.0,8.3,,,,,,,-1.8,-2.0,-1.8,11.7,9.6,3.6,-25.2,M,BL
L. Sane,BAY,6.6,6.8,5.0,5.6,,,,,,,-0.3,0.0,-0.3,6.6,6.4,7.7,-4.5,A,BL
J. Stage,WER,6.5,6.5,8.0,7.2,,,,,,,5.1,7.0,5.9,5.4,6.4,7.2,0.9,M,BL
K. Coman,BAY,6.4,4.1,3.0,4.7,,,,,,,1.1,1.0,1.5,5.7,4.5,2.1,37.8,A,BL
C. Trimmel,UBL,6.4,5.6,3.0,5.5,,,,,,,-2.0,-12.0,-2.9,5.7,6.8,3.6,11.7,F,BL
L. Ajorque,M05,5.7,4.9,12.0,5.5,,,,,,,3.7,11.0,4.2,1.6,3.7,9.4,12.6,A,BL
R. Bensebaini,BMG,5.7,6.0,0.0,4.7,,,,,,,-0.3,-1.0,-0.8,6.0,5.9,6.2,-4.5,F,BL
J. Chabot,KOE,5.7,6.2,2.0,5.6,,,,,,,0.3,-1.0,0.4,7.3,5.0,7.5,-8.1,F,BL
P. Wimmer,WOB,5.4,5.3,1.0,4.8,,,,,,,-2.0,-3.0,-1.5,4.1,5.8,5.3,0.9,M,BL
A. Maier,FCA,5.3,5.6,8.0,6.4,,,,,,,-1.0,-1.0,-0.4,3.8,4.8,8.3,-4.5,M,BL
H. Wolf,BMG,5.3,5.5,3.0,4.8,,,,,,,2.8,1.0,2.2,5.7,5.7,5.1,-2.7,M,BL
M. Berisha,FCA,5.2,5.3,3.0,4.9,,,,,,,-0.6,-3.0,-1.0,4.4,4.2,7.9,-1.8,A,BL
J. Tasende,HOF,5.2,5.5,1.0,3.3,,,,,,,-3.2,-4.0,-3.0,6.0,5.3,5.5,-5.4,F,BL
A. Hanche-Olsen,M05,4.9,5.5,7.0,6.1,,,,,,,2.5,4.0,2.7,1.3,4.7,9.8,-9.0,F,BL
B. Henrichs,RBL,4.5,4.3,3.0,4.3,,,,,,,-0.9,-4.0,-1.6,4.1,5.2,3.0,3.6,F,BL
A. Caci,M05,4.5,3.7,12.0,4.6,,,,,,,3.2,11.0,4.0,0.6,4.3,4.9,12.6,F,BL
J. Haberer,UBL,4.2,4.0,5.0,3.8,,,,,,,-2.4,1.0,-3.1,5.0,5.2,1.3,3.6,M,BL
A. Jung,WER,4.1,4.1,13.0,5.1,,,,,,,3.7,13.0,5.1,2.8,3.0,6.6,0.9,F,BL
C. Führich,VFB,4.1,4.8,4.0,4.6,,,,,,,1.2,1.0,1.5,2.8,3.5,8.3,-11.7,M,BL
D. Kamada,FFM,3.9,4.1,0.0,3.0,,,,,,,-0.5,-4.0,-1.2,3.5,4.4,4.1,-3.6,M,BL
D. Raum,RBL,3.8,4.3,1.0,4.2,,,,,,,0.4,0.0,0.4,4.7,4.5,3.6,-7.2,F,BL
M. Yoshida,S04,3.8,3.7,2.0,3.6,,,,,,,3.6,2.0,3.4,2.2,4.8,3.0,1.8,F,BL
T. Müller,BAY,3.8,3.5,4.0,3.9,,,,,,,-0.4,3.0,1.0,3.5,3.5,3.4,5.4,A,BL
S. Bell,M05,3.8,2.8,2.0,2.8,,,,,,,2.0,2.0,2.3,2.2,2.9,3.0,16.2,F,BL
R. Gikiewicz,FCA,3.7,3.9,3.0,3.4,,,,,,,0.5,-2.0,0.3,2.8,3.7,4.9,-1.8,G,BL
N. Schmidt,WER,3.6,3.2,7.0,3.8,,,,,,,2.9,7.0,3.7,0.9,2.0,6.8,6.3,M,BL
J. Blaswich,RBL,3.6,4.1,4.0,4.7,,,,,,,-0.3,-1.0,-0.5,4.1,3.8,4.5,-7.2,G,BL
M. Veljkovic,WER,3.6,3.6,7.0,4.2,,,,,,,3.4,7.0,4.1,1.9,3.0,5.8,-0.9,F,BL
S. Tigges,KOE,3.5,4.2,2.0,3.0,,,,,,,0.6,1.0,0.4,5.4,3.1,5.1,-10.8,A,BL
J. Pavlenka,WER,3.3,3.2,6.0,3.9,,,,,,,2.1,6.0,2.9,2.2,2.8,4.5,1.8,G,BL
R. Khedira,UBL,3.3,3.1,0.0,2.8,,,,,,,-2.5,-2.0,-3.0,6.0,2.9,1.5,2.7,M,BL
K. Onisiwo,M05,3.3,4.7,5.0,4.0,,,,,,,0.4,-2.0,0.3,5.7,5.3,3.0,-22.5,A,BL
T. Werner,RBL,3.2,3.1,1.0,2.6,,,,,,,-0.3,0.0,-0.1,3.2,2.5,4.1,1.8,A,BL
R. Fährmann,S04,3.0,2.9,1.0,2.5,,,,,,,1.8,1.0,1.3,2.5,3.3,2.6,1.8,G,BL
M. Gregoritsch,SCF,3.0,3.3,4.0,3.7,,,,,,,0.6,-1.0,0.5,3.2,3.4,3.2,-4.5,A,BL
S. Gnabry,BAY,3.0,3.2,0.0,2.0,,,,,,,-0.3,0.0,-0.2,3.8,2.5,4.1,-3.6,A,BL
M. Hasebe,FFM,2.9,3.0,0.0,1.7,,,,,,,-4.4,-9.0,-4.2,4.4,2.9,2.1,-0.9,F,BL
R. Baku,WOB,2.9,3.0,0.0,2.8,,,,,,,-0.8,-1.0,-0.1,3.8,3.7,1.3,-0.9,M,BL
C. Nkunku,RBL,2.9,3.2,2.0,2.4,,,,,,,3.0,1.0,2.3,4.7,3.3,2.1,-5.4,M,BL
E. Can,BVB,2.8,2.8,4.0,3.3,,,,,,,0.6,2.0,1.0,3.8,3.4,1.3,0.0,M,BL
G. Kobel,BVB,2.8,2.7,6.0,3.2,,,,,,,0.3,0.0,0.3,3.8,2.0,3.2,1.8,G,BL
M. Friedl,WER,2.8,3.0,9.0,3.9,,,,,,,0.0,0.0,0.0,1.6,2.6,4.5,-2.7,F,BL
R. Knoche,UBL,2.8,2.3,1.0,1.9,,,,,,,-0.7,-1.0,-1.2,2.5,2.6,1.7,7.2,F,BL
P. Seguin,UBL,2.8,2.3,0.0,1.9,,,,,,,-1.3,-4.0,-1.4,2.5,3.0,1.1,7.2,M,BL
G. Bastiao Dias,VFB,2.7,3.3,2.0,2.7,,,,,,,3.1,2.0,2.7,1.9,2.5,5.5,-9.0,M,BL
B. Sosa,VFB,2.7,3.2,1.0,2.9,,,,,,,2.7,1.0,2.5,4.7,2.1,3.8,-7.2,F,BL
S. Özcan,BVB,2.7,2.5,2.0,2.6,,,,,,,0.8,1.0,1.0,4.1,2.8,1.1,2.7,M,BL
M. Riemann,BOC,2.7,2.4,2.0,1.7,,,,,,,-0.4,0.0,-0.5,3.5,2.4,1.7,4.5,G,BL
P. Hofmann,BOC,2.6,2.2,0.0,1.4,,,,,,,0.0,0.0,-0.2,2.5,2.9,0.9,6.3,A,BL
D. Upamecano,BAY,2.5,2.1,0.0,1.4,,,,,,,-3.5,-5.0,-2.2,2.2,1.5,3.0,7.2,F,BL
T. Asano,BOC,2.5,2.2,0.0,1.9,,,,,,,-0.3,-1.0,-0.1,1.6,2.8,1.7,4.5,M,BL
M. Schwäbe,KOE,2.5,2.9,1.0,2.7,,,,,,,-0.1,-4.0,-0.5,2.8,3.4,2.1,-7.2,G,BL
E. Forsberg,RBL,2.4,2.5,5.0,2.9,,,,,,,0.4,-1.0,0.4,3.2,2.4,2.3,-1.8,M,BL
R. Andrich,B04,2.4,2.3,3.0,2.5,,,,,,,-0.3,0.0,-0.3,0.6,2.8,2.8,0.9,M,BL
M. Ducksch,WER,2.4,2.3,8.0,3.0,,,,,,,2.0,7.0,2.8,1.9,1.9,3.4,0.9,A,BL
K. Casteels,WOB,2.4,2.3,1.0,2.1,,,,,,,-0.3,-1.0,0.0,3.5,2.4,1.3,1.8,G,BL
