team_short,xp/mio GW1-3 [k],xp/mio GW1 [k],xCS_GW1-3,xG_GW1-3,xp/player GW1-3 [k],program,xp/player_seas [k],xCS_GW1,xG_GW1,xCS_seas,xG_seas,xp/mio_seas [k],APP [m],game
ACM,9.7,7.3,1.21,4.9,48.3,"GW1[a]FIO, GW2[h]SAL, GW3[a]UDI, GW4[a]NAP, GW5[h]EMP, ",46.7,0.35,1.13,5.29,23.22,9.3,5.0,SA
ATA,9.6,12.7,1.03,4.67,45.0,"GW1[h]UDI, GW2[a]NAP, GW3[h]EMP, GW4[a]CRE, GW5[h]BOL, ",44.1,0.43,1.7,4.47,22.94,9.4,4.7,SA
TOR,9.6,13.3,1.03,2.95,29.3,"GW1[h]BOL, GW2[a]LEC, GW3[h]NAP, GW4[a]SAS, GW5[h]ROM, ",32.9,0.42,1.13,4.49,16.62,10.8,3.1,SA
BOL,8.8,6.7,0.93,3.49,30.6,"GW1[a]TOR, GW2[h]LAZ, GW3[a]SAL, GW4[h]UDI, GW5[a]ATA, ",27.1,0.32,0.87,3.62,16.18,7.7,3.5,SA
SAM,8.3,14.9,0.86,2.8,20.6,"GW1[h]SAL, GW2[a]JUV, GW3[h]VER, GW4[a]ROM, GW5[h]CRE, ",15.8,0.4,1.18,3.34,12.69,6.4,2.5,SA
ROM,8.2,7.2,1.23,3.63,38.9,"GW1[h]JUV, GW2[h]SAS, GW3[a]LAZ, GW4[h]SAM, GW5[a]TOR, ",43.7,0.39,0.98,5.73,20.07,9.2,4.7,SA
CRE,7.7,7.1,0.67,2.68,19.6,"GW1[a]SAS, GW2[h]FIO, GW3[a]MON, GW4[h]ATA, GW5[a]SAM, ",24.5,0.23,0.85,3.09,14.86,9.6,2.6,SA
JUV,7.0,5.2,1.14,4.07,39.9,"GW1[a]ROM, GW2[h]SAM, GW3[a]INT, GW4[h]VER, GW5[a]LAZ, ",43.3,0.38,0.94,4.84,21.47,7.6,5.7,SA
SPE,6.8,12.1,0.67,2.62,19.4,"GW1[h]VER, GW2[h]INT, GW3[a]SAS, GW4[h]SAL, GW5[a]FIO, ",20.0,0.36,1.06,2.97,13.62,7.1,2.8,SA
UDI,6.4,3.7,0.72,3.39,23.6,"GW1[a]ATA, GW2[a]EMP, GW3[h]ACM, GW4[a]BOL, GW5[h]MON, ",31.2,0.18,0.84,3.75,18.85,8.5,3.7,SA
EMP,6.3,7.3,0.69,2.86,18.4,"GW1[a]MON, GW2[h]UDI, GW3[a]ATA, GW4[h]LEC, GW5[a]ACM, ",20.7,0.27,0.88,3.15,15.06,7.1,2.9,SA
SAL,4.9,8.3,0.63,2.57,14.7,"GW1[a]SAM, GW2[a]ACM, GW3[h]BOL, GW4[a]SPE, GW5[h]INT, ",12.6,0.31,0.92,2.26,13.02,4.2,3.0,SA
LAZ,4.7,2.5,0.88,3.04,25.4,"GW1[a]NAP, GW2[a]BOL, GW3[h]ROM, GW4[a]MON, GW5[h]JUV, ",33.7,0.19,0.74,4.58,17.91,6.3,5.4,SA
LEC,4.5,0.4,0.75,2.12,14.5,"GW1[a]INT, GW2[h]TOR, GW3[a]FIO, GW4[a]EMP, GW5[h]NAP, ",25.0,0.15,0.54,4.06,13.17,7.7,3.2,SA
FCM,11.4,9.9,1.19,5.13,57.2,"GW1[a]AAB, GW2[h]LBK, GW3[a]SIF, ",13.2,0.41,1.42,1.19,5.13,2.6,5.0,SL
